"Country or Area","Year","Item","Value"
"United States","2017","Gross Domestic Product (GDP)","60044.1073896433"
"United States","2015","Gross Domestic Product (GDP)","56796.5469526438"
"Uruguay","2017","Gross Domestic Product (GDP)","17322.1763365534"
"Uruguay","2015","Gross Domestic Product (GDP)","15613.780945635"
"Uzbekistan","2017","Gross Domestic Product (GDP)","1851.07467712428"
"Uzbekistan","2015","Gross Domestic Product (GDP)","2646.2522484484"
"Vanuatu","2017","Gross Domestic Product (GDP)","3082.3683637592"
"Vanuatu","2015","Gross Domestic Product (GDP)","2801.93732066798"
"Venezuela (Bolivarian Republic of)","2017","Gross Domestic Product (GDP)","8435.66266879822"
"Venezuela (Bolivarian Republic of)","2015","Gross Domestic Product (GDP)","11449.3213356562"
"Viet Nam","2017","Gross Domestic Product (GDP)","2365.52149355925"
"Viet Nam","2015","Gross Domestic Product (GDP)","2085.10163774086"
"Yemen","2017","Gross Domestic Product (GDP)","867.69160632798"
"Yemen","2015","Gross Domestic Product (GDP)","1006.12906525005"
"Zambia","2017","Gross Domestic Product (GDP)","1534.87324667195"
"Zambia","2015","Gross Domestic Product (GDP)","1313.589617298"
"Zimbabwe","2017","Gross Domestic Product (GDP)","1548.18636766727"
"Zimbabwe","2015","Gross Domestic Product (GDP)","1445.07106307379"

