"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Seychelles","2015","Female","15-24 year olds","Percent","99.55322"
"Seychelles","2015","Male","15-24 year olds","Percent","98.57663"
"Sierra Leone","2015","All genders","15-24 year olds","Percent","67.3747"
"Sierra Leone","2015","Male","15-24 year olds","Percent","75.79039"
"Sierra Leone","2015","Female","15-24 year olds","Percent","59.16805"
"Singapore","2015","Male","15-24 year olds","Percent","99.90945"
"Singapore","2015","All genders","15-24 year olds","Percent","99.91459"
"Singapore","2015","Female","15-24 year olds","Percent","99.91993"
"Slovenia","2015","Male","15-24 year olds","Percent","99.81412"
"Slovenia","2015","Female","15-24 year olds","Percent","99.9132"
"Slovenia","2015","All genders","15-24 year olds","Percent","99.86239"
"South Africa","2015","Female","15-24 year olds","Percent","99.39841"
"South Africa","2015","Male","15-24 year olds","Percent","98.69545"
"South Africa","2015","All genders","15-24 year olds","Percent","99.027"
"South Sudan","2015","Female","15-24 year olds","Percent","41.77599"
"South Sudan","2015","Male","15-24 year olds","Percent","46.89789"
"South Sudan","2015","All genders","15-24 year olds","Percent","44.35482"
"Spain","2015","Female","15-24 year olds","Percent","99.72863"
"Spain","2015","All genders","15-24 year olds","Percent","99.7564"
"Spain","2015","Male","15-24 year olds","Percent","99.78305"
"Sri Lanka","2015","All genders","15-24 year olds","Percent","98.76937"
"Sri Lanka","2015","Male","15-24 year olds","Percent","98.36592"
"Sri Lanka","2015","Female","15-24 year olds","Percent","99.16534"
"Sudan","2015","Male","15-24 year olds","Percent","71.31596"
"Sudan","2015","Female","15-24 year olds","Percent","70.41341"
"Sudan","2015","All genders","15-24 year olds","Percent","70.86966"
"Suriname","2015","All genders","15-24 year olds","Percent","99.02734"
"Suriname","2015","Female","15-24 year olds","Percent","99.66081"
"Suriname","2015","Male","15-24 year olds","Percent","98.41636"
"Swaziland","2015","Female","15-24 year olds","Percent","96.02217"
"Swaziland","2015","All genders","15-24 year olds","Percent","94.77031"
"Swaziland","2015","Male","15-24 year olds","Percent","93.53128"
"Syrian Arab Republic","2015","Female","15-24 year olds","Percent","95.63101"
"Syrian Arab Republic","2015","All genders","15-24 year olds","Percent","96.4208"
"Syrian Arab Republic","2015","Male","15-24 year olds","Percent","97.1432"
"Tajikistan","2015","Male","15-24 year olds","Percent","99.86144"
"Tajikistan","2015","Female","15-24 year olds","Percent","99.88926"
"Tajikistan","2015","All genders","15-24 year olds","Percent","99.87511"
"Thailand","2015","Female","15-24 year olds","Percent","98.95376"
"Thailand","2015","All genders","15-24 year olds","Percent","98.64085"
"Thailand","2015","Male","15-24 year olds","Percent","98.33224"
"The former Yugoslav Republic of Macedonia","2015","Male","15-24 year olds","Percent","98.73812"
"The former Yugoslav Republic of Macedonia","2015","All genders","15-24 year olds","Percent","98.61457"
"The former Yugoslav Republic of Macedonia","2015","Female","15-24 year olds","Percent","98.48496"
"Timor-Leste","2015","All genders","15-24 year olds","Percent","82.2421"
"Timor-Leste","2015","Female","15-24 year olds","Percent","82.71226"
"Timor-Leste","2015","Male","15-24 year olds","Percent","81.79212"
"Togo","2015","Male","15-24 year olds","Percent","88.89475"
"Togo","2015","All genders","15-24 year olds","Percent","85.15564"
"Togo","2015","Female","15-24 year olds","Percent","81.40246"
"Tonga","2015","Male","15-24 year olds","Percent","99.35494"
"Tonga","2015","All genders","15-24 year olds","Percent","99.44567"
"Tonga","2015","Female","15-24 year olds","Percent","99.54417"
"Trinidad and Tobago","2015","Female","15-24 year olds","Percent","99.61884"
"Trinidad and Tobago","2015","Male","15-24 year olds","Percent","99.60127"
"Trinidad and Tobago","2015","All genders","15-24 year olds","Percent","99.60996"
"Tunisia","2015","Male","15-24 year olds","Percent","98.09643"
"Tunisia","2015","Female","15-24 year olds","Percent","96.66191"
"Tunisia","2015","All genders","15-24 year olds","Percent","97.39199"
"Turkey","2015","Female","15-24 year olds","Percent","99.15425"
"Turkey","2015","All genders","15-24 year olds","Percent","99.4812"
"Turkey","2015","Male","15-24 year olds","Percent","99.79863"
"Turkmenistan","2015","All genders","15-24 year olds","Percent","99.8363"
"Turkmenistan","2015","Female","15-24 year olds","Percent","99.90961"
"Turkmenistan","2015","Male","15-24 year olds","Percent","99.76436"
"Uganda","2015","All genders","15-24 year olds","Percent","86.99899"
"Uganda","2015","Male","15-24 year olds","Percent","87.42737"
"Uganda","2015","Female","15-24 year olds","Percent","86.56882"
"Ukraine","2015","Female","15-24 year olds","Percent","99.80661"
"Ukraine","2015","All genders","15-24 year olds","Percent","99.76232"
"Ukraine","2015","Male","15-24 year olds","Percent","99.72016"
"United Arab Emirates","2015","All genders","15-24 year olds","Percent","99.45967"
"United Arab Emirates","2015","Female","15-24 year olds","Percent","99.1177"
"United Arab Emirates","2015","Male","15-24 year olds","Percent","99.64317"
"United Republic of Tanzania","2015","Male","15-24 year olds","Percent","87.45008"
"United Republic of Tanzania","2015","Female","15-24 year olds","Percent","87.16237"
"United Republic of Tanzania","2015","All genders","15-24 year olds","Percent","87.30534"
"Uruguay","2015","All genders","15-24 year olds","Percent","98.81745"
"Uruguay","2015","Male","15-24 year olds","Percent","98.2506"
"Uruguay","2015","Female","15-24 year olds","Percent","99.4054"
"Uzbekistan","2015","Female","15-24 year olds","Percent","100"
"Uzbekistan","2015","Male","15-24 year olds","Percent","100"
"Uzbekistan","2015","All genders","15-24 year olds","Percent","100"
"Vanuatu","2015","Male","15-24 year olds","Percent","95.48732"
"Vanuatu","2015","All genders","15-24 year olds","Percent","95.71933"
"Vanuatu","2015","Female","15-24 year olds","Percent","95.95143"
"Venezuela (Bolivarian Republic of)","2015","Male","15-24 year olds","Percent","97.12924"
"Venezuela (Bolivarian Republic of)","2015","All genders","15-24 year olds","Percent","97.72944"
"Venezuela (Bolivarian Republic of)","2015","Female","15-24 year olds","Percent","98.34734"
"Viet Nam","2015","Female","15-24 year olds","Percent","97.96373"
"Viet Nam","2015","All genders","15-24 year olds","Percent","98.06167"
"Viet Nam","2015","Male","15-24 year olds","Percent","98.15514"
"Yemen","2015","All genders","15-24 year olds","Percent","90.23692"
"Yemen","2015","Male","15-24 year olds","Percent","97.54592"
"Yemen","2015","Female","15-24 year olds","Percent","82.66048"
"Zambia","2015","All genders","15-24 year olds","Percent","91.52099"
"Zambia","2015","Female","15-24 year olds","Percent","90.62821"
"Zambia","2015","Male","15-24 year olds","Percent","92.41256"
"Zimbabwe","2015","All genders","15-24 year olds","Percent","91.75005"
"Zimbabwe","2015","Female","15-24 year olds","Percent","93.50235"
"Zimbabwe","2015","Male","15-24 year olds","Percent","89.96682"

